tmdb_id,country,release_date,type
626872,BR,2022-12-12T00:00:00.000Z,4
626872,BR,2023-02-15T00:00:00.000Z,4
626872,BR,2022-12-12T00:00:00.000Z,6
626872,DE,2022-11-10T00:00:00.000Z,3
626872,DE,2023-03-23T00:00:00.000Z,5
626872,FR,2021-07-16T00:00:00.000Z,1
626872,FR,2022-11-30T00:00:00.000Z,4
626872,FR,2022-11-30T00:00:00.000Z,5
626872,HK,2022-08-04T00:00:00.000Z,3
626872,ID,2022-08-16T00:00:00.000Z,3
626872,IT,2023-04-28T00:00:00.000Z,1
626872,JP,2023-01-06T00:00:00.000Z,3
626872,KR,2022-08-03T00:00:00.000Z,3
626872,RU,2022-11-03T00:00:00.000Z,3
626872,SG,2022-08-04T00:00:00.000Z,3
626872,TH,2022-08-04T00:00:00.000Z,3
626872,TW,2022-08-12T00:00:00.000Z,3
626872,US,2022-08-12T00:00:00.000Z,2
736820,AE,2023-06-10T00:00:00.000Z,1
736820,HK,2022-09-08T00:00:00.000Z,3
736820,ID,2022-09-30T00:00:00.000Z,3
736820,JP,2023-09-22T00:00:00.000Z,3
736820,KR,2022-08-30T00:00:00.000Z,1
736820,KR,2022-09-07T00:00:00.000Z,3
736820,RU,2022-12-25T00:00:00.000Z,4
736820,SG,2022-09-15T00:00:00.000Z,3
774548,DE,2024-09-26T00:00:00.000Z,4
774548,DE,2024-09-26T00:00:00.000Z,5
774548,FR,2023-08-11T00:00:00.000Z,4
774548,FR,2023-08-23T00:00:00.000Z,5
774548,HK,2022-12-01T00:00:00.000Z,3
774548,IN,2023-03-10T00:00:00.000Z,3
774548,KR,2022-11-16T00:00:00.000Z,3
774548,SG,2022-12-01T00:00:00.000Z,3
774548,TW,2022-11-25T00:00:00.000Z,3
774548,US,2022-11-12T00:00:00.000Z,1
821153,ID,2022-10-19T00:00:00.000Z,3
821153,JP,2023-12-29T00:00:00.000Z,3
821153,KR,2022-08-24T00:00:00.000Z,3
821153,TW,2022-09-30T00:00:00.000Z,3
615173,CH,2023-03-19T00:00:00.000Z,4
615173,DE,2023-01-20T00:00:00.000Z,5
615173,DE,2023-01-27T00:00:00.000Z,5
615173,GB,2022-11-28T00:00:00.000Z,4
615173,JP,2023-05-26T00:00:00.000Z,4
615173,KR,2022-06-15T00:00:00.000Z,3
615173,MX,2024-11-14T00:00:00.000Z,3
615173,NL,2022-06-15T00:00:00.000Z,3
615173,US,2022-11-08T00:00:00.000Z,4
736732,AT,2023-03-17T00:00:00.000Z,3
736732,AU,2022-09-17T00:00:00.000Z,1
736732,AU,2023-03-30T00:00:00.000Z,3
736732,BR,2023-04-06T00:00:00.000Z,3
736732,CA,2022-09-13T00:00:00.000Z,1
736732,CH,2022-09-23T00:00:00.000Z,4
736732,DE,2023-03-16T00:00:00.000Z,3
736732,DE,2023-07-20T00:00:00.000Z,4
736732,DE,2023-07-27T00:00:00.000Z,5
736732,ES,2022-12-21T00:00:00.000Z,3
736732,FI,2022-12-23T00:00:00.000Z,3
736732,FR,2022-05-26T00:00:00.000Z,1
736732,FR,2022-12-07T00:00:00.000Z,3
736732,FR,2023-04-07T00:00:00.000Z,5
736732,GB,2022-11-12T00:00:00.000Z,1
736732,GB,2023-02-24T00:00:00.000Z,3
736732,GR,2023-03-16T00:00:00.000Z,3
736732,HK,2022-06-23T00:00:00.000Z,3
736732,IE,2023-02-03T00:00:00.000Z,3
736732,IN,2023-01-20T00:00:00.000Z,3
736732,IT,2022-10-13T00:00:00.000Z,3
736732,JP,2022-06-24T00:00:00.000Z,3
736732,KR,2022-05-31T00:00:00.000Z,1
736732,KR,2022-06-08T00:00:00.000Z,3
736732,KR,2022-07-04T00:00:00.000Z,4
736732,MY,2024-07-28T00:00:00.000Z,1
736732,NO,2022-06-08T00:00:00.000Z,2
736732,PL,2022-07-23T00:00:00.000Z,4
736732,PL,2024-09-20T00:00:00.000Z,4
736732,PT,2023-01-05T00:00:00.000Z,3
736732,SA,2022-12-07T00:00:00.000Z,1
736732,SE,2022-12-09T00:00:00.000Z,3
736732,TH,2022-06-23T00:00:00.000Z,3
736732,US,2022-09-02T00:00:00.000Z,1
736732,US,2022-12-26T00:00:00.000Z,3
736732,US,2023-02-21T00:00:00.000Z,5
619803,BR,2022-09-07T00:00:00.000Z,3
619803,CH,2022-07-01T00:00:00.000Z,4
619803,DE,2022-12-01T00:00:00.000Z,4
619803,DE,2022-12-09T00:00:00.000Z,5
619803,FR,2023-09-08T00:00:00.000Z,1
619803,FR,2022-12-09T00:00:00.000Z,5
619803,HK,2022-05-26T00:00:00.000Z,3
619803,JP,2022-11-03T00:00:00.000Z,4
619803,KR,2022-05-11T00:00:00.000Z,1
619803,KR,2022-05-18T00:00:00.000Z,3
619803,MN,2022-05-20T00:00:00.000Z,3
619803,RU,2022-06-16T00:00:00.000Z,3
619803,SG,2022-05-26T00:00:00.000Z,3
619803,TH,2022-06-16T00:00:00.000Z,3
619803,TW,2022-05-20T00:00:00.000Z,3
619803,UA,2022-09-22T00:00:00.000Z,3
619803,US,2022-05-20T00:00:00.000Z,3
601796,AE,2023-06-11T00:00:00.000Z,1
601796,AU,2022-09-13T00:00:00.000Z,3
601796,DE,2022-09-13T00:00:00.000Z,1
601796,DE,2023-01-05T00:00:00.000Z,4
601796,DE,2023-01-20T00:00:00.000Z,5
601796,ES,2024-03-20T00:00:00.000Z,4
601796,FR,2024-02-28T00:00:00.000Z,4
601796,FR,2024-02-29T00:00:00.000Z,5
601796,GB,2022-12-06T00:00:00.000Z,5
